user_level,learning_goal,topic_code,subtopic_code,topic_level,quiz_type,quiz_score,avg_last_3_scores,previous_fails_same_topic,subtopic_order,preferred_topic_match,completed_interactive,needs_reinforcement
basic,general_improvement,budgeting,budget_analysis,beginner,subtopic_quiz,73.4,80.0,0,5,1,1,0
beginner,start_investing,investments,topic_final,advanced,topic_final_quiz,14.0,42.5,2,5,1,0,1
basic,saving_money,savings,why_save,beginner,subtopic_quiz,72.6,100,0,1,1,0,0
basic,start_investing,credit_and_debt,credit_overpayment,intermediate,subtopic_quiz,82.8,93.3,0,3,0,1,0
intermediate,increase_income,investments,risk_and_return,advanced,subtopic_quiz,68.2,47.1,1,2,1,0,1
advanced,start_investing,credit_and_debt,choose_credit,intermediate,subtopic_quiz,100,95.4,0,5,0,1,0
intermediate,financial_planning,financial_planning,spending_priorities,intermediate,subtopic_quiz,64.2,62.4,1,3,1,1,1
basic,general_improvement,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,54.6,82.1,0,2,1,0,1
advanced,general_improvement,financial_planning,topic_final,intermediate,topic_final_quiz,80.3,70.6,0,5,1,1,0
intermediate,control_spending,credit_and_debt,credit_load,intermediate,subtopic_quiz,66.8,65.1,0,4,0,1,0
basic,financial_planning,financial_planning,financial_goals,intermediate,subtopic_quiz,36.0,37.7,1,1,1,0,1
advanced,general_improvement,budgeting,expense_accounting,beginner,subtopic_quiz,93.6,95.0,0,3,1,1,0
intermediate,debt_management,savings,saving_mistakes,beginner,subtopic_quiz,100,100,1,5,1,0,0
beginner,general_improvement,financial_planning,savings_plan,intermediate,subtopic_quiz,40.4,41.4,1,4,1,1,1
advanced,increase_income,budgeting,expense_accounting,beginner,subtopic_quiz,83.9,89.3,0,3,0,1,0
basic,increase_income,savings,how_to_save,beginner,subtopic_quiz,59.7,56.1,0,3,1,1,1
intermediate,increase_income,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,85.4,98.9,0,4,0,1,0
beginner,start_investing,savings,why_save,beginner,subtopic_quiz,67.6,68.3,1,1,1,1,1
basic,control_spending,savings,topic_final,beginner,topic_final_quiz,87.2,79.7,0,5,0,1,0
advanced,debt_management,credit_and_debt,credit_load,intermediate,subtopic_quiz,100,94.4,0,4,1,1,0
beginner,understand_banking,financial_planning,progress_control,intermediate,subtopic_quiz,31.9,24.6,1,5,1,1,1
beginner,general_improvement,credit_and_debt,topic_final,intermediate,topic_final_quiz,23.2,26.6,2,5,0,1,1
intermediate,saving_money,financial_planning,spending_priorities,intermediate,subtopic_quiz,86.1,80.5,1,3,1,0,0
basic,debt_management,financial_planning,progress_control,intermediate,subtopic_quiz,59.3,39.3,2,5,0,1,1
beginner,start_investing,credit_and_debt,topic_final,intermediate,topic_final_quiz,44.2,58.4,3,5,0,1,1
advanced,start_investing,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,92.3,100,2,2,1,0,0
intermediate,financial_planning,credit_and_debt,interest_rate,intermediate,subtopic_quiz,75.0,73.7,0,2,1,0,0
intermediate,debt_management,investments,topic_final,advanced,topic_final_quiz,88.6,72.9,0,5,0,1,0
intermediate,financial_planning,savings,topic_final,beginner,topic_final_quiz,74.7,73.6,0,5,1,0,0
basic,saving_money,budgeting,expense_accounting,beginner,subtopic_quiz,75.8,88.4,0,3,0,1,0
beginner,start_investing,investments,what_are_investments,advanced,subtopic_quiz,49.1,52.9,1,1,1,1,1
beginner,other,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,62.9,63.3,0,1,0,1,1
intermediate,other,financial_planning,topic_final,intermediate,topic_final_quiz,72.6,81.1,0,5,0,1,0
intermediate,control_spending,budgeting,expense_accounting,beginner,subtopic_quiz,95.5,100,0,3,1,0,0
beginner,control_spending,budgeting,topic_final,beginner,topic_final_quiz,60.2,43.1,1,5,1,0,1
intermediate,general_improvement,credit_and_debt,credit_load,intermediate,subtopic_quiz,64.0,54.3,1,4,0,1,1
beginner,other,financial_planning,financial_goals,intermediate,subtopic_quiz,49.6,45.9,3,1,0,1,1
beginner,increase_income,investments,beginner_mistakes,advanced,subtopic_quiz,12.9,19.6,2,5,1,1,1
intermediate,understand_banking,credit_and_debt,topic_final,intermediate,topic_final_quiz,91.3,99.6,0,5,1,1,0
beginner,control_spending,financial_planning,spending_priorities,intermediate,subtopic_quiz,46.8,42.7,0,3,0,0,1
beginner,start_investing,investments,topic_final,advanced,topic_final_quiz,25.9,13.1,2,5,1,0,1
intermediate,start_investing,financial_planning,topic_final,intermediate,topic_final_quiz,73.3,76.8,2,5,0,0,1
beginner,saving_money,savings,how_to_save,beginner,subtopic_quiz,82.8,86.9,0,3,1,1,0
intermediate,general_improvement,credit_and_debt,topic_final,intermediate,topic_final_quiz,82.1,80.2,0,5,0,1,0
beginner,understand_banking,financial_planning,savings_plan,intermediate,subtopic_quiz,35.8,35.9,3,4,1,0,1
basic,saving_money,budgeting,budget_analysis,beginner,subtopic_quiz,48.8,53.2,1,5,0,0,1
basic,control_spending,investments,beginner_mistakes,advanced,subtopic_quiz,70.9,70.5,0,5,0,0,1
intermediate,start_investing,budgeting,topic_final,beginner,topic_final_quiz,82.6,70.0,0,5,0,1,0
beginner,saving_money,investments,diversification,advanced,subtopic_quiz,21.9,6.5,0,3,0,1,1
intermediate,saving_money,budgeting,topic_final,beginner,topic_final_quiz,69.4,71.9,0,5,0,1,0
intermediate,control_spending,budgeting,budget_analysis,beginner,subtopic_quiz,68.0,71.4,0,5,1,1,0
beginner,start_investing,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,53.7,42.6,1,2,0,1,1
intermediate,general_improvement,financial_planning,spending_priorities,intermediate,subtopic_quiz,79.3,72.8,0,3,1,1,0
beginner,debt_management,investments,diversification,advanced,subtopic_quiz,42.7,49.8,2,3,0,0,1
intermediate,control_spending,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,90.6,87.2,0,4,1,1,0
beginner,debt_management,financial_planning,financial_goals,intermediate,subtopic_quiz,26.4,31.3,0,1,0,1,1
intermediate,saving_money,savings,topic_final,beginner,topic_final_quiz,58.3,57.2,1,5,1,1,1
beginner,debt_management,investments,topic_final,advanced,topic_final_quiz,16.7,2.8,3,5,1,1,1
advanced,increase_income,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,96.3,92.7,0,2,0,1,0
advanced,start_investing,savings,saving_mistakes,beginner,subtopic_quiz,100,92.1,0,5,0,0,0
intermediate,general_improvement,savings,emergency_fund,beginner,subtopic_quiz,95.4,100,1,2,0,1,0
beginner,understand_banking,savings,saving_mistakes,beginner,subtopic_quiz,75.4,78.5,1,5,1,1,1
basic,saving_money,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,93.1,100,0,2,0,0,0
intermediate,debt_management,credit_and_debt,credit_load,intermediate,subtopic_quiz,55.6,47.0,2,4,1,1,1
basic,other,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,69.8,69.0,0,2,0,1,1
intermediate,financial_planning,financial_planning,financial_goals,intermediate,subtopic_quiz,81.7,74.1,0,1,1,1,0
basic,control_spending,investments,what_are_investments,advanced,subtopic_quiz,32.4,41.2,1,1,1,1,1
intermediate,control_spending,financial_planning,spending_priorities,intermediate,subtopic_quiz,72.6,77.0,0,3,0,1,0
beginner,control_spending,credit_and_debt,topic_final,intermediate,topic_final_quiz,54.8,53.6,2,5,0,1,1
beginner,financial_planning,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,63.1,69.0,0,4,1,1,1
intermediate,financial_planning,investments,what_are_investments,advanced,subtopic_quiz,67.0,61.8,0,1,0,1,1
beginner,debt_management,financial_planning,savings_plan,intermediate,subtopic_quiz,38.1,22.5,1,4,0,1,1
basic,debt_management,financial_planning,topic_final,intermediate,topic_final_quiz,51.3,50.2,2,5,0,0,1
intermediate,control_spending,financial_planning,financial_goals,intermediate,subtopic_quiz,63.1,58.5,1,1,0,0,1
advanced,debt_management,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,81.0,78.4,0,2,0,1,0
beginner,start_investing,investments,topic_final,advanced,topic_final_quiz,42.8,46.8,2,5,1,1,1
intermediate,financial_planning,investments,diversification,advanced,subtopic_quiz,73.5,56.6,0,3,0,1,0
intermediate,start_investing,savings,how_to_save,beginner,subtopic_quiz,78.3,82.5,0,3,1,1,0
intermediate,saving_money,budgeting,expense_accounting,beginner,subtopic_quiz,78.8,91.4,0,3,0,0,1
beginner,debt_management,savings,topic_final,beginner,topic_final_quiz,72.7,66.4,0,5,0,1,0
advanced,saving_money,investments,topic_final,advanced,topic_final_quiz,100,86.5,1,5,0,0,0
basic,other,credit_and_debt,credit_load,intermediate,subtopic_quiz,54.9,54.0,2,4,0,0,1
intermediate,other,savings,why_save,beginner,subtopic_quiz,88.8,92.2,1,1,1,1,0
beginner,increase_income,budgeting,budget_analysis,beginner,subtopic_quiz,44.6,59.3,1,5,0,1,1
beginner,general_improvement,savings,saving_mistakes,beginner,subtopic_quiz,62.5,56.3,1,5,0,1,1
basic,other,financial_planning,financial_goals,intermediate,subtopic_quiz,43.7,49.0,2,1,0,1,1
beginner,understand_banking,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,37.9,32.9,2,1,1,1,1
intermediate,other,credit_and_debt,interest_rate,intermediate,subtopic_quiz,65.9,70.7,0,2,0,1,0
advanced,understand_banking,budgeting,topic_final,beginner,topic_final_quiz,94.9,86.9,0,5,0,1,0
basic,increase_income,financial_planning,savings_plan,intermediate,subtopic_quiz,76.4,73.4,0,4,1,1,0
beginner,general_improvement,savings,topic_final,beginner,topic_final_quiz,29.4,18.6,0,5,0,0,1
intermediate,control_spending,savings,how_to_save,beginner,subtopic_quiz,71.1,82.9,0,3,1,1,0
beginner,saving_money,financial_planning,progress_control,intermediate,subtopic_quiz,59.9,73.9,0,5,1,0,1
beginner,general_improvement,investments,beginner_mistakes,advanced,subtopic_quiz,38.4,42.3,1,5,1,1,1
advanced,control_spending,investments,topic_final,advanced,topic_final_quiz,100,97.1,1,5,1,1,0
beginner,saving_money,investments,what_are_investments,advanced,subtopic_quiz,52.9,34.9,2,1,0,1,1
advanced,financial_planning,budgeting,expense_accounting,beginner,subtopic_quiz,90.5,86.8,0,3,1,1,0
beginner,saving_money,savings,emergency_fund,beginner,subtopic_quiz,76.5,87.3,0,2,1,1,0
advanced,general_improvement,savings,saving_mistakes,beginner,subtopic_quiz,74.9,83.0,0,5,0,1,0
basic,increase_income,financial_planning,spending_priorities,intermediate,subtopic_quiz,58.8,51.9,0,3,1,1,1
intermediate,financial_planning,savings,how_to_save,beginner,subtopic_quiz,75.6,57.9,1,3,1,1,1
intermediate,understand_banking,credit_and_debt,topic_final,intermediate,topic_final_quiz,71.4,72.1,0,5,1,1,0
advanced,saving_money,savings,how_to_save,beginner,subtopic_quiz,84.8,90.7,0,3,1,1,0
beginner,financial_planning,investments,risk_and_return,advanced,subtopic_quiz,57.1,44.3,2,2,0,0,1
beginner,debt_management,financial_planning,savings_plan,intermediate,subtopic_quiz,15.2,0,3,4,1,1,1
beginner,general_improvement,savings,how_to_save,beginner,subtopic_quiz,77.4,90.7,0,3,0,1,0
basic,debt_management,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,95.8,100,0,2,0,1,0
beginner,saving_money,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,38.6,42.3,2,1,0,1,1
beginner,saving_money,savings,interest_on_savings,beginner,subtopic_quiz,46.2,48.5,0,4,1,0,1
beginner,understand_banking,credit_and_debt,interest_rate,intermediate,subtopic_quiz,28.8,24.2,0,2,1,1,1
beginner,financial_planning,savings,interest_on_savings,beginner,subtopic_quiz,72.7,67.0,0,4,1,1,0
intermediate,financial_planning,investments,topic_final,advanced,topic_final_quiz,62.9,71.9,0,5,1,1,0
beginner,financial_planning,credit_and_debt,credit_overpayment,intermediate,subtopic_quiz,53.8,56.6,0,3,1,1,1
intermediate,saving_money,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,53.5,45.6,3,2,0,0,1
basic,debt_management,investments,risk_and_return,advanced,subtopic_quiz,59.9,48.5,1,2,1,1,1
beginner,understand_banking,financial_planning,savings_plan,intermediate,subtopic_quiz,26.4,36.9,2,4,0,1,1
intermediate,saving_money,financial_planning,financial_goals,intermediate,subtopic_quiz,71.0,91.8,0,1,1,1,0
intermediate,understand_banking,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,80.7,81.1,1,2,0,1,0
beginner,control_spending,budgeting,budget_analysis,beginner,subtopic_quiz,92.6,100,2,5,1,1,0
intermediate,other,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,86.9,87.2,0,4,0,0,0
beginner,understand_banking,savings,why_save,beginner,subtopic_quiz,87.0,81.5,0,1,0,1,0
basic,financial_planning,budgeting,income_expenses,beginner,subtopic_quiz,73.6,58.9,0,1,1,0,0
beginner,control_spending,savings,saving_mistakes,beginner,subtopic_quiz,89.2,66.7,0,5,0,1,0
basic,understand_banking,investments,risk_and_return,advanced,subtopic_quiz,47.9,56.2,2,2,0,0,1
basic,increase_income,investments,simple_instruments,advanced,subtopic_quiz,32.1,25.0,1,4,1,1,1
basic,understand_banking,financial_planning,progress_control,intermediate,subtopic_quiz,63.8,71.7,0,5,0,1,0
intermediate,financial_planning,credit_and_debt,topic_final,intermediate,topic_final_quiz,54.3,64.0,1,5,1,1,1
beginner,control_spending,investments,topic_final,advanced,topic_final_quiz,36.4,37.5,0,5,0,1,1
intermediate,understand_banking,financial_planning,progress_control,intermediate,subtopic_quiz,49.4,38.3,1,5,0,0,1
beginner,start_investing,investments,simple_instruments,advanced,subtopic_quiz,52.6,46.0,0,4,1,0,1
intermediate,general_improvement,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,79.6,88.6,0,2,1,1,0
basic,control_spending,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,51.6,40.8,2,2,0,1,1
beginner,other,savings,how_to_save,beginner,subtopic_quiz,74.3,68.2,0,3,0,1,0
beginner,financial_planning,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,53.9,59.4,0,4,1,1,1
advanced,start_investing,budgeting,budget_analysis,beginner,subtopic_quiz,78.9,90.2,0,5,1,1,0
intermediate,debt_management,investments,simple_instruments,advanced,subtopic_quiz,66.5,72.4,0,4,1,1,0
beginner,understand_banking,credit_and_debt,credit_load,intermediate,subtopic_quiz,37.2,36.3,2,4,1,0,1
beginner,other,budgeting,topic_final,beginner,topic_final_quiz,41.0,24.4,0,5,0,1,1
advanced,general_improvement,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,100,87.9,1,1,0,1,0
intermediate,debt_management,credit_and_debt,choose_credit,intermediate,subtopic_quiz,69.1,71.6,1,5,1,1,0
beginner,financial_planning,financial_planning,spending_priorities,intermediate,subtopic_quiz,21.3,11.3,1,3,1,1,1
beginner,understand_banking,budgeting,expense_accounting,beginner,subtopic_quiz,41.2,54.7,2,3,0,1,1
beginner,start_investing,credit_and_debt,topic_final,intermediate,topic_final_quiz,21.0,23.1,2,5,0,0,1
intermediate,saving_money,investments,risk_and_return,advanced,subtopic_quiz,73.4,74.1,0,2,0,1,0
beginner,increase_income,credit_and_debt,topic_final,intermediate,topic_final_quiz,43.5,47.5,1,5,0,1,1
beginner,saving_money,budgeting,topic_final,beginner,topic_final_quiz,61.3,48.7,0,5,0,1,1
advanced,financial_planning,budgeting,budget_analysis,beginner,subtopic_quiz,85.8,80.7,0,5,1,1,0
beginner,increase_income,budgeting,topic_final,beginner,topic_final_quiz,58.6,66.2,0,5,0,1,1
beginner,increase_income,investments,simple_instruments,advanced,subtopic_quiz,55.0,59.6,2,4,1,1,1
beginner,control_spending,financial_planning,progress_control,intermediate,subtopic_quiz,35.7,24.4,0,5,0,0,1
advanced,financial_planning,credit_and_debt,credit_load,intermediate,subtopic_quiz,83.0,82.8,0,4,0,1,0
beginner,start_investing,savings,saving_mistakes,beginner,subtopic_quiz,84.1,100,1,5,0,0,0
intermediate,financial_planning,financial_planning,short_vs_long_goals,intermediate,subtopic_quiz,73.9,71.1,0,2,1,1,0
advanced,understand_banking,investments,beginner_mistakes,advanced,subtopic_quiz,88.8,83.2,1,5,0,1,0
beginner,control_spending,budgeting,topic_final,beginner,topic_final_quiz,63.4,61.1,1,5,1,1,1
beginner,saving_money,credit_and_debt,credit_load,intermediate,subtopic_quiz,39.6,30.5,1,4,0,1,1
intermediate,other,financial_planning,savings_plan,intermediate,subtopic_quiz,91.2,86.0,0,4,1,1,0
basic,financial_planning,savings,how_to_save,beginner,subtopic_quiz,100,92.6,0,3,1,1,0
beginner,saving_money,financial_planning,spending_priorities,intermediate,subtopic_quiz,44.0,52.5,2,3,1,1,1
basic,start_investing,investments,topic_final,advanced,topic_final_quiz,12.1,21.0,0,5,1,1,1
advanced,start_investing,financial_planning,progress_control,intermediate,subtopic_quiz,70.1,80.8,0,5,0,0,1
beginner,start_investing,investments,topic_final,advanced,topic_final_quiz,59.1,74.8,0,5,1,1,1
basic,saving_money,credit_and_debt,choose_credit,intermediate,subtopic_quiz,70.7,67.6,0,5,0,1,0
beginner,increase_income,budgeting,expense_accounting,beginner,subtopic_quiz,36.4,36.9,1,3,1,1,1
basic,other,investments,risk_and_return,advanced,subtopic_quiz,10.6,0,0,2,0,0,1
advanced,start_investing,financial_planning,spending_priorities,intermediate,subtopic_quiz,82.1,70.4,0,3,1,1,0
basic,saving_money,financial_planning,savings_plan,intermediate,subtopic_quiz,62.0,62.9,0,4,0,1,1
basic,saving_money,investments,simple_instruments,advanced,subtopic_quiz,52.2,61.2,3,4,0,1,1
basic,understand_banking,budgeting,budgeting_rule_50_30_20,beginner,subtopic_quiz,80.1,60.9,0,4,1,1,0
intermediate,financial_planning,financial_planning,financial_goals,intermediate,subtopic_quiz,100,100,0,1,1,1,0
basic,financial_planning,investments,risk_and_return,advanced,subtopic_quiz,56.7,37.6,0,2,0,1,1
advanced,other,credit_and_debt,credit_overpayment,intermediate,subtopic_quiz,83.9,79.3,1,3,0,1,0
intermediate,debt_management,budgeting,fixed_variable_expenses,beginner,subtopic_quiz,75.2,63.3,0,2,0,1,1
intermediate,saving_money,financial_planning,financial_goals,intermediate,subtopic_quiz,51.5,39.2,3,1,0,1,1
intermediate,saving_money,financial_planning,financial_goals,intermediate,subtopic_quiz,52.6,53.4,1,1,0,0,1
beginner,increase_income,financial_planning,savings_plan,intermediate,subtopic_quiz,52.2,56.3,1,4,1,1,1
beginner,start_investing,credit_and_debt,what_is_credit,intermediate,subtopic_quiz,55.9,30.3,1,1,1,1,1
beginner,increase_income,savings,how_to_save,beginner,subtopic_quiz,70.6,71.3,0,3,1,1,0
intermediate,financial_planning,budgeting,expense_accounting,beginner,subtopic_quiz,76.1,82.0,0,3,1,1,0
beginner,control_spending,investments,what_are_investments,advanced,subtopic_quiz,45.9,52.6,0,1,0,0,1
intermediate,saving_money,financial_planning,topic_final,intermediate,topic_final_quiz,75.0,74.4,0,5,0,1,0
basic,debt_management,savings,topic_final,beginner,topic_final_quiz,38.2,25.4,0,5,0,0,1
advanced,debt_management,financial_planning,financial_goals,intermediate,subtopic_quiz,75.5,78.6,0,1,0,1,0
basic,increase_income,budgeting,budget_analysis,beginner,subtopic_quiz,65.0,45.6,2,5,0,1,1
intermediate,increase_income,investments,risk_and_return,advanced,subtopic_quiz,48.1,40.0,1,2,1,0,1
advanced,general_improvement,investments,topic_final,advanced,topic_final_quiz,66.3,68.0,1,5,0,1,1
intermediate,saving_money,credit_and_debt,interest_rate,intermediate,subtopic_quiz,84.7,89.7,0,2,1,1,0
intermediate,saving_money,investments,simple_instruments,advanced,subtopic_quiz,65.3,60.3,0,4,0,0,0
basic,saving_money,savings,interest_on_savings,beginner,subtopic_quiz,62.1,74.7,0,4,1,1,1
intermediate,debt_management,investments,diversification,advanced,subtopic_quiz,60.8,45.9,0,3,1,1,1
beginner,debt_management,investments,diversification,advanced,subtopic_quiz,57.1,61.6,0,3,0,1,1
intermediate,saving_money,investments,topic_final,advanced,topic_final_quiz,80.7,78.2,1,5,0,0,0
